序號,案件名稱,最終違約金類型,案件類型數字
14,案件_14,"根據判決書內容，此案例屬於**損害賠償性編號2**。

判決書中，原告請求被告支付129萬4348元，包含100萬元懲罰性違約金及29萬4348元損害賠償。然而，法院最終駁回了原告的所有請求，並說明了駁回的原因：

1. **競業禁止約款無效:** 法院認定原告與被告簽訂的離職契約書及僱傭契約書中關於競業禁止的條款因原告未給予被告合理補償而無效。因此，基於該條款請求的100萬元懲罰性違約金不成立。

2. **未證明損害及因果關係:**  法院認為原告未能證明被告的行為造成了實際的損害，以及損害與被告行為之間的直接因果關係。尤其在29萬4348元損害賠償的部分，法院認為原告未舉證調降管理費用一事究竟造成何種損害，且許公館案的監工管理費調降已獲得原告同意。

儘管原告請求中包含了懲罰性違約金，但法院的判決並未支持這部分的請求，而是基於原告未能證明其實際損害和被告行為之間的因果關係而駁回。  因此，儘管契約中出現了懲罰性違約金的條款，但最終判決結果更符合損害賠償性的特徵。  法院主要審理的是原告聲稱的實際損失，並最終認定原告未能舉證證明其損失。
",2
15,案件_15,"此判決書內容屬於**損害賠償性編號2**。

判決書中，法院判決錦鋐企業股份有限公司應給付達信營造股份有限公司新臺幣壹仟伍佰壹拾捌萬伍仟柒佰陸拾陸元，以及利息。這個金額是基於達信公司已完成的工作，並根據雙方簽訂的工程契約計算的報酬及部分薪資。法院詳細審理了雙方爭議，包括工程進度、瑕疵、契約終止等，並根據契約條款和民法相關規定，計算出錦鋐公司應支付的金額。  雖然判決書中提到系爭契約第20條的懲罰性違約金，但法院並未以此為基礎進行判決，而是基於實際損失進行賠償計算。  因此，判決結果更接近損害賠償的性質，而非懲罰性違約金。  法院判決的金額並非一個預設的固定數額，而是經過詳細計算得出的。
",2
16,案件_16,"這份判決書的內容屬於**損害賠償性編號2**。

判決書中，法院判決錦鋐企業股份有限公司應給付達信營造股份有限公司新台幣壹仟伍佰壹拾捌萬伍仟柒佰陸拾陸元，以及利息。  這個金額是基於達信公司已完成的工程，按契約約定的成本加報酬方式計算，並扣除了錦鋐公司已支付的部分。  雖然判決書中提到了契約中關於逾期罰款的條款，但法院並未以此作為判決的依據，而是基於實際損失進行了損害賠償的計算。  法院仔細審查了雙方提出的證據和抗辯，最終判決的金額與達信公司實際完成的工程量和契約約定相符。  因此，這更符合損害賠償的性質，而非懲罰性違約金。  判決中關於假執行部分，是為了確保判決結果的執行，而非額外的懲罰。
",2
17,案件_17,"考量判決書中，法院認定合議書中約定的105萬元違約金為懲罰性違約金，但因金額過高，予以減至24萬元。  雖然最終判決金額較低，但起初約定的違約金性質以及法院的認定都指向**懲罰性編號1**。  法院的減額行為是基於法律規定，而非改變違約金的本質。因此，最接近的分類為**懲罰性編號1**。
",1
18,案件_18,"根據判決書內容，19萬3554元中包含6萬4518元的不當得利（相當於租金）以及12萬9036元的遲延費用，此遲延費用是契約約定每日租金總額的兩倍，判決書中明確指出此費用「性質上應屬懲罰性違約金」。因此，此部分應歸類為**懲罰性編號1**。

而185萬3438元的賠償，是基於承租人未盡保管義務導致鋼材毀損或遺失的損害賠償，金額計算方式也基於契約約定的賠償單價，雖然加計了營業稅，但其本質是針對實際損失的賠償。因此，此部分應歸類為**損害賠償性編號2**。


總體而言，此判決書同時包含了懲罰性與損害賠償性質的賠償金額。  需要分別判斷。
",2
19,案件_19,"根據提供的法院判決書內容，此判決涉及的違約金性質最接近**懲罰性編號1**。

判決書中提及系爭契約約定，若材料材質不符規定，除該不符合部分材料不予計價外，「並依該不符合材料價金之10%作為該項缺失之懲罰性違約金」。  法院最終判決被上訴人(經濟部水利署)可獲得50萬元懲罰性違約金。雖然法院有提到民法第252條，可以酌減違約金，但並沒有實際減低金額，仍然維持了契約中約定的懲罰性違約金比例。  此金額與實際損失（1040萬元）的比例並非合理賠償範圍，而是作為對違約行為的懲罰。  雖然判決書中也涉及工程款的返還，但這屬於損害賠償的一部分，而非懲罰性違約金的重點。  因此，整體而言，判決中關於違約金的部分更符合懲罰性違約金的定義。
",1
20,案件_20,"這份判決書的內容最接近**損害賠償性編號2**。

雖然判決書中涉及「逾期違約金」，但法院最終判決原告勝訴，並僅要求被告返還原告因「溢扣」的逾期違約金75,900元。  這個金額是基於被告錯誤計算的逾期天數而產生的，並非對違約行為本身的額外懲罰，而是對實際損失的補償。  法院也明確審查了原告主張的各種展延事由，並逐一判斷其合理性，最終只認定部分展延請求有效，並據此計算了應返還的金額。  這符合損害賠償性違約金的特性，即補償因違約行為造成的實際損失。  而法院駁回了原告要求將違約金酌減至0元的請求，也間接說明法院認為約定的違約金機制本身並非懲罰性，而是損害賠償性的。
",2
21,案件_21,"根據提供的判決書內容，此判決結果應歸類為**損害賠償性編號2**。

雖然判決金額（788萬6,309元）看似很高，但判決書詳細列出了各項損害賠償的計算依據，並非單純的懲罰性違約金。這些依據包含：

* **系爭建物大門修補費用 (112萬5,342元):**  基於被告的施工瑕疵，原告自行修復並請求償還費用，屬於實際損失的補償。法院也詳細審理了雙方在修補過程中的協商和責任歸屬。

* **逾期違約金 (568萬元):**  雖然契約原本約定逾期違約金為1,136萬元，但法院考量到實際損害（原告因延誤造成的損失343萬8,678元）及其他情狀（例如瑕疵影響工期），將違約金減半至568萬元。這仍然是基於實際損害和違約情狀的賠償，而非純粹的懲罰。

* **重複收取之追加工程款 (108萬0,967元):**  這部分屬於不當得利返還，是基於被告重複收取款項的事實，而非懲罰性措施。


總體而言，雖然最終判決金額較高，但法院的判決過程是基於對各項損害的細緻計算和責任判斷，並考量了民法相關條款，最終金額是多項損害賠償的總和，並非單純的懲罰性賠償。因此，更貼近損害賠償性的定義。  法院也明確說明了對違約金的酌減理由，並非簡單地認定為懲罰性違約金。
",2
22,案件_22,"根據提供的法院判決書內容，案件的判決結果顯示反訴原告沛鑫包裝科技股份有限公司獲得新台幣16,147,275元的賠償，以及使用執照的返還。法院判決書中詳細論述了工程瑕疵、工期延誤等問題，並基於這些事實進行損害賠償的計算，並考量了契約中關於逾期違約金的條款，但最終將違約金金額減至合理的範圍(3000萬元, 但考量抵銷後實際判決金額為16,147,275元)。  雖然契約中存在懲罰性違約金條款，但法院並未完全採納，而是依據實際損害進行考量和裁決。

因此，儘管契約內容包含懲罰性違約金條款的元素，但整體判決結果更趨近於**損害賠償性編號2**。  法院的判決是基於實際的損害賠償和違約責任來計算賠償金額，而非單純對違約方進行懲罰。
",2
23,案件_23,"根據提供的判決書內容，此案件屬於**損害賠償性編號2**。

雖然判決書中提及違約金，但法院最終將違約金的計算方式認定為損害賠償的預定，並依法酌減至53萬元，而非以懲罰性違約金的標準處理。法院的判決也基於實際損失及契約內容，考量到契約履行過程中的延宕與實際交付的款項，最終判決被告應支付的金額也與實際損失較為接近。  因此，更接近損害賠償的性質，而非懲罰。
",2
24,案件_24,"根據提供的法院判決書內容，案件涉及的是**損害賠償性編號2**。

判決書中，雙方爭議的焦點在於工程款項的計算和支付，被告主張原告有未完成工程、工程瑕疵等問題，應予以扣款，並主張違約金。而原告則主張有額外的工程款項應支付，並以抵銷主張系爭支付命令的債權不存在。

判決書最終的判斷是基於雙方契約條款、工程實際完成情況、以及雙方提供的證據來計算工程款項，並考量被告的損失（未完成工程、瑕疵修補等）來扣除原告應得的款項。法院明確地對雙方提出的款項進行了逐項審查和計算，並根據實際損失情況調整了違約金的數額，最後判決原告敗訴。

雖然判決書中提到了違約金，但法院並未直接採用契約中約定的違約金數額，而是根據實際情況進行了酌減，使其與實際損失相符，這符合損害賠償的原則，而非懲罰性違約金的性質。  因此，儘管有違約金的討論，但整體來看，判決的過程和結果更符合損害賠償性違約金的認定標準。
",2
25,案件_25,"根據提供的判決書內容，這屬於**損害賠償性編號2**。

判決書的核心在於釐清工程保固保證金的退還問題。法院審理後，判定被上訴人（國防部政治作戰局）應退還上訴人（鉅明營造）部分保固保證金，扣除已因工程瑕疵動用的部分。  判決金額820萬2,273元，是基於實際損失（扣除瑕疵修復費用後的保證金餘額）計算所得，而非額外懲罰。  法院的判決是根據契約條款及誠信原則，對實際損失進行補償，符合損害賠償性的定義。  雖然判決書中提到「懲罰性違約金」，但那是被上訴人提出的抗辯理由，並未被法院採納。法院最終的判決結果是基於損害賠償的原則。
",2
26,案件_26,"判決書內容屬於**損害賠償性編號2**。

雖然判決書中提及「懲罰性違約金」，並計算了原告遲延交貨的違約金，但法院最終考量了多種因素，例如：

* **瑕疵比例不高:** 系爭設備684組，僅29組有瑕疵，且大部分瑕疵在較短時間內得到修復。
* **原告承攬部分工作:** 原告僅承攬部分工程，而非整個專案。
* **民法第252條的適用:** 法院援引民法第252條，將原告應負擔的違約金酌減至與實際損失較為相符的金額。

因此，法院最終判決的金額（91萬6,398元）是基於實際損失和違約責任後，經過法院酌減後得出的結果，更接近損害賠償的性質，而非單純的懲罰。  法院的酌減行為直接體現了對懲罰性違約金的限制和對損害賠償原則的遵循。
",2
27,案件_27,"根據提供的判決書內容，法院判決被告韓世傑應返還原告新臺幣140萬7,000元，這是基於**民法第179條不當得利**的規定。  判決書明確指出這是因為被告已領取超過實際完成工程價值的款項。  

法院駁回了原告請求被告支付違約金的請求，因為法院認為雙方實際的承攬契約（丙約）中並沒有違約金的約定，且甲約因借牌而認定無效。  因此，這140萬7,000元的金額是基於實際損失（溢付工程款）的計算，而非懲罰性違約金。


因此，選擇**損害賠償性編號2**。
",2
28,案件_28,"根據提供的判決書內容，此判決屬於**損害賠償性編號2**。

判決書詳細審理了雙方在工程契約中的爭議，並逐條分析了原告提出的各項損失賠償請求。法院根據契約條款以及民法相關規定，認定被告終止契約的行為屬於民法第511條規定的任意終止，因此被告應賠償原告因契約終止而發生的實際損失。  法院計算並判決原告可以獲得的金額，是基於原告已完成的工程款、保留款、以及因被告違約而產生的部分額外費用（例如施工架結構計算費用），這些都與原告的實際損失直接相關。  雖然金額累計較高，但法院的計算過程清晰，並非單純的罰款或懲罰性違約金，而是基於實際損害的賠償。  法院也駁回了原告其他與實際損失無直接關聯的請求，例如所失利益。

因此，儘管金額看起來可能較高，但其依據是對原告實際損失的計算與認定，符合損害賠償的定義，而非懲罰性違約金。
",2
29,案件_29,"根據提供的內容，此判決中涉及的金額計算方式更傾向於**損害賠償性編號2**。

雖然契約中提及終止契約後，可從履約保證金和工程款中扣除被上訴人委託第三方修補工程的費用，這部分看似有懲罰性的意味。但法院的判決是基於實際損失進行計算，並非單純的罰金。法院詳細審核了上訴人已完成但有瑕疵的工作，計算了應付的工程款，並扣除因上訴人違約導致被上訴人需額外支付的修補費用。這個扣除的費用是基於上訴人違約造成的實際損失，而非額外懲罰。  最終計算出的金額是基於雙方契約、實際完成工程量、瑕疵工程的修補費用等多方面因素綜合考量後的結果，力求反映實際損失。

雖然契約條款中存在一些可能被解讀為懲罰性條款的描述，但法院的判決過程著重於計算實際損失，並非僅依據懲罰性條款直接判決特定金額。因此，整體判斷更符合損害賠償性的定義。
",2
30,案件_30,"本判決書內容顯示，契約中關於「每逾期1日科罰總工程款3%」的條款被法院認定為**懲罰性違約金（編號1）**。  雖然判決最後是基於實際損失計算工程款，但法院明確指出契約中的罰款條款性質為懲罰性，而非損害賠償性。因此，選擇**懲罰性編號1**更為貼切。
",1
31,案件_31,"根據提供的法院判決書內容，判決結果屬於**損害賠償性編號2**。

判決書詳細描述了雙方爭議的起因、經過和證據，並基於系爭契約及相關法律規定，認定空軍第六基地勤務大隊（被告）應賠償盛堂營造有限公司（原告）的損失。判決金額2,339萬6,902元，是法院根據雙方提供的證據，並考量工程會鑑定、建築師公會鑑定等專業意見後，計算出的實際損失，而非額外罰金或懲罰。  雖然金額龐大，但判決書中詳細說明了計算依據，並非單純的懲罰性賠償。  法院也駁回了原告部分請求及被告的反訴部分請求，進一步說明判決基於損害賠償的原則。  因此，此判決最符合損害賠償性的描述。
",2
32,案件_32,"根據提供的判決書內容，**違約金部分應歸類為損害賠償性編號2**。

判決書中明確指出，系爭契約第14條第2項約定的違約金，**並非懲罰性違約金，而是賠償總額預定性之違約金**。法院也根據此條款計算了違約金金額，並非單純的懲罰性罰款，而是基於實際情況和契約條款進行的計算，與實際損失有所連結。雖然違約金金額（16萬2,750元）看似較高，但法院的判決理由中詳細說明了計算方式，並考量了違約時間長度以及未支付工程款的金額，最終裁定符合契約約定的最高上限。  因此，其性質更偏向於損害賠償，而非單純懲罰。
",2
33,案件_33,"根據提供的判決書內容，這屬於**損害賠償性編號2**。

雖然契約約定違約金為200萬元，但法院最終判決僅需支付15萬元。法院的判決理由是：

1. **法院認定違約金性質為損害賠償預定性：** 法院明確指出，契約中200萬元違約金並無懲罰性質，而是作為損害賠償的預定總額。

2. **金額與實際損失有關聯：** 法院考量了迪品工作室違約行為造成的實際損失（2萬3,628元的分潤），並根據此損失，將違約金酌減至15萬元。雖然15萬元遠高於2萬3,628元，但法院的判斷依據是考量到整體的商業損失與情狀，而非單純的懲罰。

3. **法院的酌減行為：**  法院並未單純執行契約約定的200萬元違約金，而是根據比例原則及實際損害情況，將其大幅度酌減，這也符合損害賠償的性質。

因此，儘管契約初始約定金額高，但最終法院的判決結果和理由更傾向於損害賠償的性質，而非懲罰性違約金。
",2
34,案件_34,"根據判決書內容，該判決認定契約中的違約金條款（100萬元）為**懲罰性違約金編號1**，但因契約違反勞基法第9條之1而無效，因此原告請求給付違約金的訴訟請求被駁回。

判決書中明確指出，離職契約書第2條和雇用契約書第5條的保密條款，實際上構成勞基法第9條之1規範的離職後競業禁止條款，且原告未給予被告合理補償，因此該條款無效。  雖然契約中約定100萬元的懲罰性違約金，但因約定本身無效，所以不屬於損害賠償的範疇。  判決書也駁回了原告關於其他損害賠償的請求 (29萬4348元)。

因此，雖然契約中存在懲罰性違約金的約定，但因法律原因而失效，最接近的分類是**懲罰性編號1**。
",1
35,案件_35,"這份判決書描述的是**損害賠償性編號2**。

判決書的核心在於計算達信營造股份有限公司（下稱達信公司）因錦鋐企業股份有限公司（下稱錦鋐公司）終止契約而應獲得的賠償。判決書仔細審查了雙方契約、雙方主張，並考量了工程進度、瑕疵等因素，最終判決錦鋐公司需支付達信公司新台幣壹仟伍佰壹拾捌萬伍仟柒佰陸拾陸元，以及利息。  這個金額是基於達信公司已完成的工作以及錦鋐公司單方面終止契約所造成的損失計算得來，而非額外懲罰。  雖然判決書中提到了系爭契約第20條的懲罰性違約金，但最終判決並沒有應用此條款，而是基於實際損失進行賠償。  判決書中也詳細說明了錦鋐公司提出的抵銷抗辯，並逐一駁回，更突顯了判決結果的損害賠償性質。
",2
36,案件_36,"根據提供的判決書內容，判決結果屬於**損害賠償性編號2**。

判決書中，法院判決錦鋐企業股份有限公司應給付達信營造股份有限公司新臺幣壹仟伍佰壹拾捌萬伍仟柒佰陸拾陸元，以及利息。這筆款項是基於達信公司已完成之工作，並依據雙方契約約定計算的工程款及人員薪資，屬於對實際損失的補償。法院仔細審查了雙方契約，以及達信公司是否違約，並考量了錦鋐公司終止契約的正當性，最終判決的金額並非懲罰性違約金，而是基於實際損失而作出的賠償。  雖然判決書中提及系爭契約第20條的懲罰性違約金，但法院並未以此為依據做出判決，而是根據已完成工作的報酬和實際損失進行計算。  因此，最終判決結果更接近損害賠償的性質。
",2
37,案件_37,"根據提供的判決書內容，最終法院判決被告應給付原告新台幣555,000元，此金額是法院在考量原合約中約定的「3倍懲罰性違約金」過高後，依據實際損害（未付尾款24萬元、合理的律師費用75,000元，以及因違約造成的損失24萬元）酌減後的結果。

雖然合約中存在懲罰性違約金的約定(105萬元)，但法院並未全數支持，而是根據民法相關規定，將其酌減至一個與實際損失較為符合的金額。因此，儘管合約中有懲罰性違約金的約定，但最終判決結果更接近**損害賠償性編號2**。  法院的裁決目的在於補償原告的實際損失，而非單純對違約方進行懲罰。
",2
38,案件_38,"根據判決書內容，19萬3554元中包含了6萬4518元的不當得利（相當於租金）和12萬9036元的遲延費用。判決書明確指出，此遲延費用是根據契約第12條約定，為租金總額的兩倍，性質上屬於**懲罰性違約金**（編號1）。  雖然也有損害賠償的部分（185萬3438元），但19萬3554元的構成要素中包含了顯著的懲罰性成分，因此整體而言更接近**懲罰性編號1**。
",1
39,案件_39,"根據提供的判決書內容，被上訴人(經濟部水利署第三河川分署)請求的違約金包含兩部分：

1. **溢領工程款 778萬5,465元：** 這是損害賠償性質，基於上訴人(鋐璟營造股份有限公司)因混凝土品質不符契約而溢領的款項。判決書詳細說明了計算過程，並非額外懲罰。

2. **懲罰性違約金 50萬元：** 這是懲罰性違約金，根據契約約定，因混凝土摻雜鋼碴而設定。雖然法院最後維持了這50萬元的請求，但其性質仍屬於懲罰性違約金，而非基於實際損害的賠償。

因此，這份契約內容同時包含了**懲罰性違約金 (編號1)** 和 **損害賠償 (編號2)** 兩種性質的違約金請求。  若必須選擇最接近的分類，則應選擇**懲罰性編號1**，因為判決結果包含了懲罰性違約金的成分。
",1
40,案件_40,"根據提供的判決書內容，屬於**損害賠償性編號2**。

判決書中，原告銘台營造因工程延誤被扣款逾期違約金3,339,600元。法院審理後，認定原告部分延誤原因不可歸責於己，最終判決被告應返還原告75,900元（溢扣部分）。  這個金額是基於實際損失（溢扣的違約金）計算的，而非額外罰款或懲罰。  法院也審查了原告提出的其他展延工期請求，但大多不被採納，這顯示法院是基於實際情況判斷損失，而非單純懲罰違約方。  因此，判決結果更符合損害賠償性的特徵。
",2
41,案件_41,"根據提供的判決書內容，本案中被告請求的2,268,000元屬於**懲罰性編號1**。

判決書中明確指出，該2,268,000元是根據系爭合約第6條第3項計算的「逾期罰款」，每逾期一天以工程總價的3%計算。這符合懲罰性違約金的定義：

* **金額遠超過實際損害的合理比例：** 2,268,000元遠高於被告實際因原告延遲完工所產生的損失。判決書中，法官也駁回了被告其他請求賠償損失的訴求，顯示2,268,000元並非基於實際損失計算。
* **無法直接與實際損失或費用相連結：**  該金額是根據每日逾期罰款的固定比例計算，與實際損失無直接關聯。
* **伴隨強制執行條款：** 判決書中涉及該金額的強制執行。

雖然判決書最後駁回了被告請求2,268,000元的訴求，但这并不改變該金額本身的懲罰性性質。  其計算方式及目的都明確指向對違約方的懲罰，而非對實際損失的補償。  其他賠償請求(例如80,850元代墊款)則屬於損害賠償性。
",1
42,案件_42,"根據提供的判決書內容，關於違約金部分(35萬8850元)，應歸類為**懲罰性編號1**。

判決書中，原告請求的違約金是基於契約中約定的「工程總價千分之一，上限為工程總價的10%」，這是一個預設的固定比例，與被告實際造成的損害並無直接關聯。  雖然判決書最後實際判決金額低於原告請求金額，但這並不能改變違約金設定的本質。  契約條款中設定的違約金計算方式明顯具有懲罰性，旨在迫使被告履行付款義務，而非單純補償原告的實際損失。  因此，即使最終判決金額較低，其最初的設定仍符合懲罰性違約金的定義。
",1
